setup,231
q1,7598
q2,17736
q3,4722
q4,225
q7,24567
q8,130914
q10,2889
q11,95
q13,9107
q15,8512
q17,14218
q18,13071
q19,4528
q22,17321
q24,43890
q25,17124
q26,8848
q28,12085
q29,13796
q30,1522
q31,23748
q33,10230
q34,9053
q38,14083
q41,313
q42,4003
q43,12926
q46,17363
q48,8883
q49,12698
q50,11700
q51,29703
q52,3136
q53,3986
q55,3172
q56,10964
q57,35832
q59,284785
q60,11196
q61,28493
q62,17705
q63,3901
q66,30032
q67,86406
q68,15693
q69,4422
q71,10868
q73,5878
q75,51305
q76,3999
q79,14618
q81,2825
q83,3020
q84,305
q85,1839
q87,13326
q88,42384
q89,6180
q90,1428
q91,1667
q93,33577
q96,3136
q97,17283
q99,29949
