substr(w_warehouse_name, 1, 20),sm_type,cc_name,30 days,31-60 days,61-90 days,91-120 days,>120 days
null,EXPRESS,California,8181,8603,8527,0,0
null,EXPRESS,California_1,8207,8644,8557,0,0
null,EXPRESS,Hawaii/Alaska,8166,8334,8295,0,0
null,EXPRESS,Hawaii/Alaska_1,8189,8480,8459,0,0
null,EXPRESS,Mid Atlantic,8239,8354,8503,0,0
null,EXPRESS,Mid Atlantic_1,8296,8600,8642,0,0
null,EXPRESS,Mid Atlantic_2,8290,8443,8420,0,0
null,EXPRESS,NY Metro,8104,8602,8549,0,0
null,EXPRESS,NY Metro_1,8277,8376,8428,0,0
null,EXPRESS,NY Metro_2,8226,8583,8434,0,0
null,EXPRESS,North Midwest,8214,8495,8506,0,0
null,EXPRESS,North Midwest_1,8313,8275,8591,0,0
null,EXPRESS,North Midwest_2,8238,8689,8489,0,0
null,EXPRESS,Pacific Northwest,8320,8446,8332,0,0
null,EXPRESS,Pacific Northwest_1,8254,8391,8418,0,0
null,LIBRARY,California,6135,6362,6394,0,0
null,LIBRARY,California_1,6154,6296,6283,0,0
null,LIBRARY,Hawaii/Alaska,6091,6270,6476,0,0
null,LIBRARY,Hawaii/Alaska_1,6250,6353,6427,0,0
null,LIBRARY,Mid Atlantic,6087,6415,6495,0,0
null,LIBRARY,Mid Atlantic_1,6197,6592,6313,0,0
null,LIBRARY,Mid Atlantic_2,6135,6295,6544,0,0
null,LIBRARY,NY Metro,6222,6350,6359,0,0
null,LIBRARY,NY Metro_1,6192,6287,6425,0,0
null,LIBRARY,NY Metro_2,6201,6369,6330,0,0
null,LIBRARY,North Midwest,6282,6273,6381,0,0
null,LIBRARY,North Midwest_1,6005,6455,6377,0,0
null,LIBRARY,North Midwest_2,6137,6454,6360,0,0
null,LIBRARY,Pacific Northwest,6083,6360,6394,0,0
null,LIBRARY,Pacific Northwest_1,6150,6243,6287,0,0
null,NEXT DAY,California,8153,8602,8406,0,0
null,NEXT DAY,California_1,8323,8458,8480,0,0
null,NEXT DAY,Hawaii/Alaska,8219,8508,8386,0,0
null,NEXT DAY,Hawaii/Alaska_1,8373,8485,8485,0,0
null,NEXT DAY,Mid Atlantic,8063,8463,8600,0,0
null,NEXT DAY,Mid Atlantic_1,8346,8464,8538,0,0
null,NEXT DAY,Mid Atlantic_2,8321,8638,8613,0,0
null,NEXT DAY,NY Metro,8260,8309,8512,0,0
null,NEXT DAY,NY Metro_1,8212,8525,8457,0,0
null,NEXT DAY,NY Metro_2,8168,8329,8537,0,0
null,NEXT DAY,North Midwest,8240,8582,8487,0,0
null,NEXT DAY,North Midwest_1,8120,8546,8639,0,0
