c_last_name,c_first_name,substr(s_city, 1, 30),ss_ticket_number,amt,profit
null,null,null,2793177,null,null
null,null,null,16021170,null,null
null,null,null,3681245,3988.15,-25899.01
null,null,null,14967548,7381.82,-22784.12
null,null,null,15743643,6636.76,-21451.14
null,null,null,17696835,3219.38,-21165.92
null,null,null,20417943,572.97,-19803.21
null,null,null,23933009,6094.22,-18662.49
null,null,null,1439863,7778.54,-17798.51
null,null,null,18860115,2148.48,-17317.83
null,null,null,15644660,998.56,-15618.59
null,null,null,16672396,2814.99,-15570.06
null,null,null,22755435,2931.56,-15420.54
null,null,null,22217328,0.00,-14198.99
null,null,null,4936005,533.72,-14054.81
null,null,null,545751,200.85,-13865.52
null,null,null,19522117,0.00,-13650.16
null,null,null,19205573,233.73,-13526.86
null,null,null,19839405,506.11,-13256.81
null,null,null,13515404,3873.77,-13225.93
null,null,null,16021170,2327.78,-12738.99
null,null,null,20567502,3193.26,-12589.43
null,null,null,2132359,5224.11,-11910.34
null,null,null,19283314,71.07,-11859.44
null,null,null,13403376,0.00,-11755.56
null,null,null,17907379,93.14,-11541.12
null,null,null,20257565,4840.97,-11512.34
null,null,null,19919242,3190.47,-11491.82
null,null,null,3993368,6673.78,-11373.30
null,null,null,8715452,213.33,-11313.61
null,null,null,5239791,6437.79,-11293.46
null,null,null,1356297,109.41,-10998.79
null,null,null,19750764,2468.42,-10728.27
null,null,null,821887,684.64,-10727.22
null,null,null,10756854,0.00,-10705.54
null,null,null,10454982,2167.59,-10561.79
null,null,null,4938377,3285.54,-10501.19
null,null,null,16945791,1442.49,-10348.74
null,null,null,2175089,2615.36,-10032.27
null,null,null,18902410,4544.12,-9602.59
null,null,null,2793177,1869.13,-9422.07
null,null,null,10782588,127.13,-9259.74
null,null,null,4264433,4015.73,-9185.66
null,null,null,10916296,2423.97,-9094.57
null,null,null,29576,2858.50,-9018.61
null,null,null,15453159,2717.92,-8973.18
null,null,null,1187143,2071.62,-8753.03
null,null,null,7398921,2428.62,-8681.97
null,null,null,18401756,6715.96,-8203.33
null,null,null,23928632,119.31,-8084.89
null,null,null,10292092,3034.60,-7892.08
null,null,null,13755545,2293.00,-7835.82
null,null,null,7018725,21.10,-7769.18
null,null,null,2895827,897.95,-7699.72
null,null,null,11725215,4983.89,-7693.54
null,null,null,17708802,81.24,-7672.29
null,null,null,22133660,1110.75,-7547.03
null,null,null,14043653,1716.75,-7086.05
null,null,null,21034745,514.15,-6833.74
null,null,null,22462626,1008.24,-6615.69
null,null,null,13916059,4981.95,-6566.70
null,null,null,16209361,7390.25,-6548.31
null,null,null,17903837,159.78,-6242.44
null,null,null,16733729,5195.56,-6202.58
null,null,null,22299870,115.03,-5974.16
null,null,null,12101519,219.47,-5952.16
null,null,null,5207059,1169.89,-5370.09
null,null,null,22483680,406.22,-5364.84
null,null,null,7729096,170.52,-5317.39
null,null,null,18513524,1184.10,-5248.51
null,null,null,10512793,0.00,-5220.18
null,null,null,4011578,962.18,-5167.95
null,null,null,20863691,2184.51,-4780.87
null,null,null,18758010,607.14,-4772.19
null,null,null,3683071,474.91,-4731.11
null,null,null,9338539,777.31,-4610.04
null,null,null,8993397,1466.48,-4023.07
null,null,null,8152561,1915.08,-3605.38
null,null,null,19569262,52.47,-3523.63
null,null,null,17360582,0.00,-3330.99
null,null,null,10644155,0.00,-3301.07
null,null,null,7500829,2921.60,-3280.02
null,null,null,19214186,6094.85,-3150.47
null,null,null,17571798,3886.62,-2645.46
null,null,null,10958387,0.00,-2620.16
null,null,null,15341317,713.96,-2197.74
null,null,null,9886876,410.49,-2176.78
null,null,null,7371391,813.21,-1962.39
null,null,null,6509868,66.35,-801.29
null,null,null,21457302,4671.96,-772.80
null,null,null,10916296,null,-357.72
null,null,null,19090159,930.84,-220.90
null,null,null,5146741,3006.19,-174.38
null,null,null,1356297,null,-118.40
null,null,null,1721986,0.00,398.50
null,null,null,9846363,8089.77,644.78
null,null,null,22665150,705.00,990.03
null,null,null,18304696,113.09,1469.11
null,null,null,1852539,1843.87,6929.97
null,null,Bethel,22767968,null,null
