prev_year,year,i_brand_id,i_class_id,i_category_id,i_manufact_id,prev_yr_cnt,curr_yr_cnt,sales_cnt_diff,sales_amt_diff
1999,2000,4003001,3,4,325,351698,2535,-349163,-15255997.76
1999,2000,4002001,2,4,145,408751,91398,-317353,-14166575.82
1999,2000,4004001,4,4,304,314394,1529,-312865,-13898275.76
1999,2000,4001001,1,4,25,354045,45907,-308138,-13463033.97
1999,2000,4004001,4,4,1,417733,134412,-283321,-12583075.83
1999,2000,4003001,3,4,115,358864,90036,-268828,-11386522.58
1999,2000,4003001,3,4,297,324997,88444,-236553,-10611909.54
1999,2000,4003001,3,4,3,321055,92014,-229041,-10099088.78
1999,2000,4002001,2,4,295,230073,1669,-228404,-9695025.07
1999,2000,4004001,4,4,609,229050,894,-228156,-9715757.06
1999,2000,4004001,4,4,147,228900,807,-228093,-9990692.95
1999,2000,4003001,3,4,177,226195,717,-225478,-9843496.87
1999,2000,4003001,3,4,158,359142,133989,-225153,-9990871.10
1999,2000,4003001,3,4,36,362084,137530,-224554,-10138594.29
1999,2000,4004001,4,4,32,224346,1344,-223002,-9720783.61
1999,2000,4004001,4,4,186,267654,48094,-219560,-9725809.91
1999,2000,4001001,1,4,44,310661,95769,-214892,-9223137.33
1999,2000,4003001,3,4,331,263297,49116,-214181,-9466429.60
1999,2000,4001001,1,4,48,307029,95312,-211717,-9347024.12
1999,2000,4004001,4,4,58,402238,190730,-211508,-9467209.61
1999,2000,4002001,2,4,300,280078,92691,-187387,-8109071.18
1999,2000,4001001,1,4,248,186906,460,-186446,-8059533.94
1999,2000,4003001,3,4,97,187187,975,-186212,-8542757.36
1999,2000,4004001,4,4,248,230959,45421,-185538,-8191566.01
1999,2000,4001001,1,4,131,277349,92183,-185166,-8130990.78
1999,2000,4003001,3,4,267,184893,887,-184006,-8017313.25
1999,2000,4003001,3,4,200,227191,43483,-183708,-8034267.54
1999,2000,4001001,1,4,93,228060,44553,-183507,-7610055.22
1999,2000,4002001,2,4,107,316872,134229,-182643,-8034233.59
1999,2000,4001001,1,4,31,271796,89689,-182107,-8180100.52
1999,2000,4004001,4,4,111,274449,92397,-182052,-8329651.33
1999,2000,4004001,4,4,46,276169,94190,-181979,-7537326.38
1999,2000,4002001,2,4,55,272917,91010,-181907,-8016432.93
1999,2000,4002001,2,4,88,320710,138808,-181902,-7872443.15
1999,2000,4004001,4,4,635,182513,768,-181745,-7734209.33
1999,2000,4004001,4,4,306,228269,46687,-181582,-7940791.21
1999,2000,4002001,2,4,57,181675,405,-181270,-8178097.89
1999,2000,4001001,1,4,46,226373,45561,-180812,-7747507.47
1999,2000,4001001,1,4,98,271150,90443,-180707,-8157861.26
1999,2000,4003001,3,4,184,226371,45678,-180693,-7991419.31
1999,2000,4001001,1,4,137,272855,92524,-180331,-7744371.17
1999,2000,4004001,4,4,614,272995,92700,-180295,-7864887.85
1999,2000,4004001,4,4,295,227445,47255,-180190,-7994148.36
1999,2000,4001001,1,4,270,316527,136442,-180085,-7914241.29
1999,2000,4001001,1,4,281,226777,46906,-179871,-8037392.13
1999,2000,4003001,3,4,119,269368,89524,-179844,-7525062.17
1999,2000,4003001,3,4,44,268423,88624,-179799,-7408373.71
1999,2000,4004001,4,4,267,180508,818,-179690,-7931261.45
1999,2000,4004001,4,4,256,227128,47471,-179657,-7550635.74
1999,2000,4003001,3,4,535,180486,870,-179616,-8055402.91
1999,2000,4002001,2,4,82,179875,456,-179419,-7803568.58
1999,2000,4001001,1,4,124,226591,47195,-179396,-7700356.55
1999,2000,4001001,1,4,10,225732,46464,-179268,-7981612.67
1999,2000,4003001,3,4,39,358647,179429,-179218,-7703885.44
1999,2000,4002001,2,4,642,270760,91843,-178917,-7559880.80
1999,2000,4002001,2,4,189,274825,95968,-178857,-7966418.59
1999,2000,4004001,4,4,151,224223,45453,-178770,-7580875.90
1999,2000,4002001,2,4,34,224883,46173,-178710,-7730146.79
1999,2000,4003001,3,4,173,267319,88895,-178424,-7745112.38
1999,2000,4004001,4,4,131,179191,793,-178398,-7591586.95
1999,2000,4001001,1,4,191,179161,803,-178358,-7725884.27
1999,2000,4001001,1,4,202,179108,844,-178264,-7761316.71
1999,2000,4002001,2,4,239,179005,833,-178172,-7654285.35
1999,2000,4003001,3,4,224,266330,88470,-177860,-7735127.22
1999,2000,4003001,3,4,303,224837,47414,-177423,-7709810.73
1999,2000,4001001,1,4,214,224116,46911,-177205,-7625873.29
1999,2000,4002001,2,4,165,365642,188867,-176775,-7571508.35
1999,2000,4004001,4,4,81,176929,393,-176536,-7974589.89
1999,2000,4001001,1,4,333,225139,48980,-176159,-7805720.23
1999,2000,4001001,1,4,287,270398,94407,-175991,-7606181.81
1999,2000,4004001,4,4,291,224006,48539,-175467,-7683962.12
1999,2000,4004001,4,4,22,267428,92656,-174772,-7916062.14
1999,2000,4002001,2,4,235,222150,47866,-174284,-7823770.96
1999,2000,4003001,3,4,123,222648,48670,-173978,-7733217.33
1999,2000,4002001,2,4,428,222257,49135,-173122,-7491515.70
1999,2000,4001001,1,4,240,173270,900,-172370,-7514138.55
1999,2000,4002001,2,4,119,217542,45588,-171954,-7365190.86
1999,2000,4004001,4,4,154,311657,140512,-171145,-7276595.45
1999,2000,4004001,4,4,152,233717,85927,-147790,-6614703.87
1999,2000,4004001,4,4,178,281615,134963,-146652,-6075180.94
1999,2000,4003001,3,4,332,235115,92178,-142937,-5982419.30
1999,2000,4004001,4,4,69,231468,88707,-142761,-6123096.09
1999,2000,4003001,3,4,322,325235,182699,-142536,-6285433.54
1999,2000,4002001,2,4,201,142815,1071,-141744,-6249032.12
1999,2000,4001001,1,4,312,142311,645,-141666,-6236053.85
1999,2000,4003001,3,4,10,185781,44534,-141247,-6216757.68
1999,2000,4002001,2,4,480,228734,87544,-141190,-5947703.85
1999,2000,4003001,3,4,159,326203,185026,-141177,-6325621.51
1999,2000,4002001,2,4,200,227679,86578,-141101,-6029848.78
1999,2000,4004001,4,4,74,141804,756,-141048,-6291163.50
1999,2000,4003001,3,4,263,184327,43510,-140817,-5903572.21
1999,2000,4004001,4,4,145,315982,175174,-140808,-6037248.47
1999,2000,4003001,3,4,2,229012,88272,-140740,-6198026.63
1999,2000,4004001,4,4,276,182790,42172,-140618,-6041923.58
1999,2000,4004001,4,4,124,184384,43854,-140530,-5855726.65
1999,2000,4001001,1,4,649,140975,483,-140492,-6102595.51
1999,2000,4004001,4,4,270,231270,90914,-140356,-6242289.88
1999,2000,4001001,1,4,88,227524,87207,-140317,-6115027.22
1999,2000,4001001,1,4,119,140639,430,-140209,-6194840.28
1999,2000,4001001,1,4,92,184752,44591,-140161,-6078441.02
