channel,id,sales,returns,profit
null,null,1301552192.42,63708424.45,-374189879.07
catalog channel,null,449490669.46,22076798.90,-57757451.14
catalog channel,catalog_pageAAAAAAAAAAGDAAAA,1143556.45,48830.05,-142804.62
catalog channel,catalog_pageAAAAAAAAAAHDAAAA,467456.86,17288.41,-53336.67
catalog channel,catalog_pageAAAAAAAAAAKDAAAA,61857.23,0.00,8662.22
catalog channel,catalog_pageAAAAAAAAABGDAAAA,1038932.34,39580.91,-201171.33
catalog channel,catalog_pageAAAAAAAAABHDAAAA,516273.63,26929.87,-66393.97
catalog channel,catalog_pageAAAAAAAAABKDAAAA,518908.85,10204.63,-56827.26
catalog channel,catalog_pageAAAAAAAAACGDAAAA,1303692.68,57478.34,-214711.14
catalog channel,catalog_pageAAAAAAAAACKDAAAA,544458.28,21416.70,-65148.16
catalog channel,catalog_pageAAAAAAAAADGDAAAA,1221692.54,83431.62,-127453.84
catalog channel,catalog_pageAAAAAAAAADKDAAAA,607835.55,54409.63,-79835.16
catalog channel,catalog_pageAAAAAAAAAEGDAAAA,1214236.72,58224.26,-167724.58
catalog channel,catalog_pageAAAAAAAAAEKDAAAA,495134.48,20431.36,-68364.19
catalog channel,catalog_pageAAAAAAAAAFGDAAAA,1232547.73,87294.78,-161062.00
catalog channel,catalog_pageAAAAAAAAAFJDAAAA,36999.68,1177.14,-22871.65
catalog channel,catalog_pageAAAAAAAAAFKDAAAA,545820.30,70376.62,-100230.96
catalog channel,catalog_pageAAAAAAAAAGGDAAAA,642161.99,16557.77,-109952.26
catalog channel,catalog_pageAAAAAAAAAGJDAAAA,63020.06,0.00,11150.60
catalog channel,catalog_pageAAAAAAAAAGKDAAAA,509721.33,27311.82,-42184.63
catalog channel,catalog_pageAAAAAAAAAHGDAAAA,699201.58,50647.59,-60792.60
catalog channel,catalog_pageAAAAAAAAAHJDAAAA,38762.48,3670.70,-13453.43
catalog channel,catalog_pageAAAAAAAAAHKDAAAA,550771.01,36499.99,-70662.75
catalog channel,catalog_pageAAAAAAAAAIGDAAAA,699711.85,24056.38,-30686.60
catalog channel,catalog_pageAAAAAAAAAIJDAAAA,33749.30,364.71,-13530.01
catalog channel,catalog_pageAAAAAAAAAIKDAAAA,571162.07,29027.83,-60081.17
catalog channel,catalog_pageAAAAAAAAAJGDAAAA,593074.07,35118.58,-50504.17
catalog channel,catalog_pageAAAAAAAAAJJDAAAA,37251.82,609.88,5162.80
catalog channel,catalog_pageAAAAAAAAAJKDAAAA,505674.11,48434.76,-127844.11
catalog channel,catalog_pageAAAAAAAAAKFDAAAA,1228656.95,56601.64,-160696.01
catalog channel,catalog_pageAAAAAAAAAKGDAAAA,605453.45,24772.00,-45004.66
catalog channel,catalog_pageAAAAAAAAAKJDAAAA,44942.87,3078.72,848.43
catalog channel,catalog_pageAAAAAAAAAKKDAAAA,551285.40,3803.33,-39943.41
catalog channel,catalog_pageAAAAAAAAALFDAAAA,1083977.15,66931.91,-151483.69
catalog channel,catalog_pageAAAAAAAAALGDAAAA,607096.23,25645.09,-99810.78
catalog channel,catalog_pageAAAAAAAAALJDAAAA,40407.56,1650.82,1059.29
catalog channel,catalog_pageAAAAAAAAALKDAAAA,574811.38,14898.00,-111803.82
catalog channel,catalog_pageAAAAAAAAAMFDAAAA,1156620.79,37796.32,-167207.21
catalog channel,catalog_pageAAAAAAAAAMGDAAAA,609580.24,30603.70,-72331.09
catalog channel,catalog_pageAAAAAAAAAMJDAAAA,25552.27,2371.48,-16041.64
catalog channel,catalog_pageAAAAAAAAAMKDAAAA,576553.74,30948.02,-133207.84
catalog channel,catalog_pageAAAAAAAAANFDAAAA,1094267.92,47179.04,-188971.89
catalog channel,catalog_pageAAAAAAAAANGDAAAA,515661.74,17586.46,-98931.45
catalog channel,catalog_pageAAAAAAAAANJDAAAA,71058.78,2913.24,-960.52
catalog channel,catalog_pageAAAAAAAAAOFDAAAA,1127065.81,44370.23,-224510.34
catalog channel,catalog_pageAAAAAAAAAOGDAAAA,572037.23,20195.76,-61650.66
catalog channel,catalog_pageAAAAAAAAAOJDAAAA,39173.42,8748.78,309.85
catalog channel,catalog_pageAAAAAAAAAPFDAAAA,1256994.26,59392.43,-141051.01
catalog channel,catalog_pageAAAAAAAAAPGDAAAA,552809.47,26649.16,-59797.27
catalog channel,catalog_pageAAAAAAAAAPJDAAAA,52761.60,1100.75,-20337.92
catalog channel,catalog_pageAAAAAAAABAGDAAAA,1195198.96,55338.62,-94770.29
catalog channel,catalog_pageAAAAAAAABAHDAAAA,534817.13,32109.30,-122495.49
catalog channel,catalog_pageAAAAAAAABAKDAAAA,22756.44,4993.17,-2407.13
catalog channel,catalog_pageAAAAAAAABBGDAAAA,1216510.98,60569.24,-70164.59
catalog channel,catalog_pageAAAAAAAABBHDAAAA,516868.48,23616.57,-90281.70
catalog channel,catalog_pageAAAAAAAABBKDAAAA,585590.01,19141.95,-62712.58
catalog channel,catalog_pageAAAAAAAABCGDAAAA,1151942.86,42748.07,-129495.72
catalog channel,catalog_pageAAAAAAAABCKDAAAA,567608.70,23838.19,-76444.17
catalog channel,catalog_pageAAAAAAAABDGDAAAA,1214700.97,30866.13,-150608.94
catalog channel,catalog_pageAAAAAAAABDKDAAAA,600160.10,27098.57,-12096.04
catalog channel,catalog_pageAAAAAAAABEGDAAAA,1303714.99,49169.82,-71949.16
catalog channel,catalog_pageAAAAAAAABEKDAAAA,542021.45,16197.87,-62793.03
catalog channel,catalog_pageAAAAAAAABFGDAAAA,1159230.99,69642.90,-107937.40
catalog channel,catalog_pageAAAAAAAABFJDAAAA,70414.56,1260.80,2440.89
catalog channel,catalog_pageAAAAAAAABFKDAAAA,530135.37,18413.12,-90246.04
catalog channel,catalog_pageAAAAAAAABGGDAAAA,542919.32,15369.02,-18015.59
catalog channel,catalog_pageAAAAAAAABGJDAAAA,24997.04,322.95,-24491.66
catalog channel,catalog_pageAAAAAAAABGKDAAAA,511445.97,20785.73,-78423.00
catalog channel,catalog_pageAAAAAAAABHGDAAAA,614693.41,41066.92,-25199.31
catalog channel,catalog_pageAAAAAAAABHJDAAAA,41383.43,982.51,-3169.21
catalog channel,catalog_pageAAAAAAAABHKDAAAA,624077.86,36332.73,-59846.17
catalog channel,catalog_pageAAAAAAAABIGDAAAA,666606.50,48715.98,-11058.85
catalog channel,catalog_pageAAAAAAAABIJDAAAA,48321.13,3456.42,-4642.48
catalog channel,catalog_pageAAAAAAAABIKDAAAA,533302.63,25590.94,-111269.13
catalog channel,catalog_pageAAAAAAAABJGDAAAA,634231.81,38820.98,-108134.32
catalog channel,catalog_pageAAAAAAAABJJDAAAA,26079.58,442.18,-9072.24
catalog channel,catalog_pageAAAAAAAABJKDAAAA,527798.38,10681.37,-60949.62
catalog channel,catalog_pageAAAAAAAABKFDAAAA,1106991.60,59624.71,-117756.66
catalog channel,catalog_pageAAAAAAAABKGDAAAA,683998.88,37355.27,-57797.50
catalog channel,catalog_pageAAAAAAAABKJDAAAA,51786.40,1357.15,-1622.94
catalog channel,catalog_pageAAAAAAAABKKDAAAA,522369.00,34961.39,-51981.77
catalog channel,catalog_pageAAAAAAAABLFDAAAA,1173765.23,42457.98,-184053.84
catalog channel,catalog_pageAAAAAAAABLGDAAAA,656040.80,29713.95,-32387.29
catalog channel,catalog_pageAAAAAAAABLJDAAAA,50301.67,4675.78,-1323.02
catalog channel,catalog_pageAAAAAAAABLKDAAAA,587367.47,33724.76,-61258.59
catalog channel,catalog_pageAAAAAAAABMFDAAAA,1226304.08,39025.14,-72830.10
catalog channel,catalog_pageAAAAAAAABMGDAAAA,701836.24,45061.96,-102166.88
catalog channel,catalog_pageAAAAAAAABMJDAAAA,66524.78,375.76,7040.41
catalog channel,catalog_pageAAAAAAAABNFDAAAA,1145368.61,61258.94,-192582.53
catalog channel,catalog_pageAAAAAAAABNGDAAAA,490790.14,18032.50,-109499.07
catalog channel,catalog_pageAAAAAAAABNJDAAAA,22613.44,545.28,-4626.32
catalog channel,catalog_pageAAAAAAAABOFDAAAA,1196578.13,76733.02,-210542.72
catalog channel,catalog_pageAAAAAAAABOGDAAAA,636551.81,30774.68,-99890.77
catalog channel,catalog_pageAAAAAAAABOJDAAAA,58180.78,452.63,7702.52
catalog channel,catalog_pageAAAAAAAABPFDAAAA,1199235.71,81307.03,-173532.92
catalog channel,catalog_pageAAAAAAAABPGDAAAA,558766.63,19334.02,-64613.50
catalog channel,catalog_pageAAAAAAAABPJDAAAA,17253.57,16.68,-18926.77
catalog channel,catalog_pageAAAAAAAACAGDAAAA,1283763.71,78621.39,-48345.42
catalog channel,catalog_pageAAAAAAAACAHDAAAA,678079.68,37081.48,-82184.61
catalog channel,catalog_pageAAAAAAAACAKDAAAA,25180.21,0.00,-14274.27
