setup,7354
q1,11739
q2,6302
q3,3529
q4,305900
q5,17048
q6,22084
q7,6825
q8,4070
q9,13968
q10,8051
q11,48201
q12,2752
q13,9759
q14,101637
q15,10629
q16,28303
q17,40433
q18,11323
q19,7019
q20,2676
q21,4853
q22,24788
q23,290037
q24,67328
q25,43399
q26,3752
q27,5358
q28,16401
q29,37809
q30,4785
q31,12931
q32,3598
q33,6307
q34,5281
q35,8346
q36,6771
q37,7021
q38,16564
q39,15801
q40,15581
q41,457
q42,1956
q43,3014
q44,618
q45,5021
q46,8133
q47,10120
q48,14246
q49,23373
q50,26177
q51,25699
q52,2657
q53,3622
q54,12325
q55,2243
q56,7357
q57,5880
q58,6135
q59,11497
q60,4579
q61,6516
q62,2022
q63,3661
q64,79983
q65,17865
q66,6418
q67,157057
q68,8087
q69,5929
q70,5807
q71,6314
q72,174355
q73,4397
q74,47640
q75,24305
q76,9166
q77,6602
q78,73034
q79,7676
q80,68616
q81,6569
q82,17538
q83,3951
q84,3569
q85,7286
q86,2261
q87,17382
q88,10493
q89,3808
q90,1473
q91,2581
q92,3033
q93,34587
q94,15680
q95,38603
q96,1528
q97,16076
q98,4317
q99,2573
