channel,id,sales,returns,profit
null,null,145682780286.35,3392217047.30,-20352059344.87
catalog channel,null,130241920675.04,2997495402.56,-14778356142.72
catalog channel,null,163568208.00,187343462.66,-148776768.32
catalog channel,1,8715816014.40,187343462.66,-987044122.72
catalog channel,2,8692522436.00,187343462.66,-970713341.92
catalog channel,4,8751675653.60,187343462.66,-967793327.68
catalog channel,7,8669514695.84,187343462.66,-965137496.64
catalog channel,8,8715452492.48,187343462.66,-978924033.76
catalog channel,10,8611326592.32,187343462.66,-956239641.28
catalog channel,13,8748562915.84,187343462.66,-964729207.04
catalog channel,14,8541357727.84,187343462.66,-976046552.00
catalog channel,16,8608021914.24,187343462.66,-1008519422.88
catalog channel,19,8724198702.88,187343462.66,-987017712.96
catalog channel,20,8634707628.96,187343462.66,-963114536.00
catalog channel,22,8584279152.80,187343462.66,-962211825.60
catalog channel,25,8665869055.52,187343462.66,-983839184.80
catalog channel,26,8701077549.92,187343462.66,-967403833.60
catalog channel,28,8713969934.40,187343462.66,-990845135.52
store channel,null,11356468047.70,325584972.51,-5122587099.62
store channel,1,58676330.57,1558864.72,-25955611.52
store channel,2,54291790.72,1590157.77,-24922659.20
store channel,4,57691512.93,1642702.80,-25414373.32
store channel,7,56894333.45,1791619.92,-26041306.05
store channel,8,56834107.56,1628452.26,-25827675.35
store channel,10,54309498.63,1472572.32,-25379617.11
store channel,13,58247118.88,1572368.66,-26091121.86
store channel,14,56295524.45,1709902.87,-25330462.75
store channel,16,56114558.82,1705087.05,-25330065.75
store channel,19,57493897.68,1569665.23,-26167156.09
store channel,20,56726850.34,1613806.33,-25629234.80
store channel,22,56200768.66,1482575.49,-25772494.44
store channel,25,57038009.34,1675500.87,-25259738.85
store channel,26,56418333.89,1588351.37,-25889223.11
store channel,28,55381272.23,1691633.08,-24807329.98
store channel,31,56737935.91,1526105.41,-25620468.51
store channel,32,56710737.49,1712125.44,-26811724.94
store channel,34,55330331.86,1469527.14,-24835342.80
store channel,37,55770487.03,1666731.15,-24909342.44
store channel,38,59166479.24,1551395.08,-26782746.94
store channel,40,58343260.69,1632718.84,-26037764.20
store channel,43,54811387.21,1697551.70,-24859528.92
store channel,44,56152013.74,1641156.52,-25055080.32
store channel,46,56218254.13,1556517.41,-25359892.39
store channel,49,56980522.17,1701524.72,-25296921.38
store channel,50,57581554.21,1675619.04,-25978005.65
store channel,52,56242667.51,1636914.75,-25186016.80
store channel,55,57438080.65,1540126.09,-25893326.81
store channel,56,58335738.19,1736000.98,-25294084.72
store channel,58,57330315.69,1694727.28,-26150490.36
store channel,61,55985335.45,1594316.72,-24878953.28
store channel,62,56977510.52,1410185.08,-25647403.35
store channel,64,57157998.29,1619838.54,-26718203.32
store channel,67,60645180.29,1474323.44,-26711856.39
store channel,68,56674485.41,1580349.42,-24672011.68
store channel,70,57037101.33,1612636.73,-25068641.88
store channel,73,56958289.07,1729748.65,-25204364.24
store channel,74,55011687.39,1515046.60,-24977838.51
store channel,76,57442182.12,1663167.19,-25806553.91
store channel,79,57226846.01,1626133.26,-25454151.17
store channel,80,56349668.06,1587199.75,-25316080.51
store channel,82,58131133.88,1667765.26,-25883718.22
store channel,85,58682393.72,1645098.22,-26159000.76
store channel,86,56925641.85,1657155.69,-25861514.79
store channel,88,56557316.91,1645197.24,-25537310.86
store channel,91,54359130.70,1594872.97,-24872139.23
store channel,92,54594190.82,1666127.10,-25103650.68
store channel,94,54689143.61,1591835.97,-24891946.64
store channel,97,55320743.81,1704998.47,-25217568.17
store channel,98,56151275.57,1700512.58,-25648870.76
store channel,100,55950586.38,1612124.42,-25742051.98
store channel,103,56692455.25,1613548.50,-25538680.66
store channel,104,57533242.93,1685386.87,-25985377.20
store channel,106,58555780.12,1593616.98,-26274254.35
store channel,109,57434984.71,1642215.68,-25852523.41
store channel,110,55353043.19,1620853.07,-24602986.66
store channel,112,56801459.31,1542730.88,-26341542.30
store channel,115,57383435.15,1548733.78,-25659840.49
store channel,116,56098052.67,1831902.08,-25369468.94
store channel,118,57122597.49,1569558.44,-25728881.83
store channel,121,57734065.23,1625974.26,-26298432.00
store channel,122,59312669.63,1699397.24,-25536198.19
store channel,124,55284626.01,1723521.06,-25143177.30
store channel,127,55640575.63,1653135.75,-24682298.32
store channel,128,55707029.32,1720149.52,-25718338.09
store channel,130,56045115.18,1576378.32,-25161041.32
store channel,133,56897685.09,1604990.94,-25383999.03
store channel,134,55908686.26,1688143.92,-25243635.95
store channel,136,55272916.12,1596642.36,-24566123.39
store channel,139,54007610.49,1621718.34,-24658853.65
store channel,140,57154332.29,1533790.18,-25167792.13
store channel,142,55071050.50,1657933.60,-24986658.27
store channel,145,56234992.60,1588151.87,-25020667.02
store channel,146,57869560.85,1674778.99,-26590240.59
store channel,148,57715178.33,1621145.13,-25892293.75
store channel,151,55531767.50,1791295.57,-24497185.48
store channel,152,58183178.27,1684726.48,-25833589.37
store channel,154,57117994.68,1710265.79,-26220485.42
store channel,157,56649157.25,1637394.02,-25163099.98
store channel,158,58080945.83,1667671.61,-26214356.24
store channel,160,58285235.28,1590045.85,-25923832.43
